Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1000,30625.94,2706.161667,6,5,27,2,"Credit-Builder Loan, and Home Equity Loan",57,26,1.63,11,Bad,1562.91,30.07719135,10 Years and 9 Months,Yes,42.94109042,77.31427572,High_spent_Medium_value_payments,400.3608005,2023-05-01
CUS_0x108a,36982.36,2554.813823,7,9,21,9,"Student Loan, Student Loan, Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, Student Loan, and Personal Loan",15,15,24.61,15,_,4882.12,32.00299359,7 Years and 9 Months,Yes,454.4195521,275.8074536,Low_spent_Medium_value_payments,84.70883763,2023-05-01
CUS_0x10f9,150131.68,11102.13532,5,1,4,0,,8,0,7.49,0,Good,1138.36,45.2558067,31 Years and 11 Months,No,1494.838012,180.7591381,High_spent_Medium_value_payments,1328.938195,2023-05-01
CUS_0x1119,56301.9,4593.825,9,5,26,2,"Not Specified, and Not Specified",15,18,14.73,14,_,2161.23,37.38149611,14 Years and 6 Months,Yes,50.11934809,310.8444404,Low_spent_Medium_value_payments,378.4187115,2023-05-01
CUS_0x1192,16319.375,1518.947917,7,3,1,2,"Payday Loan, and Payday Loan",16,13,7.67,9,Standard,1275.32,31.40444597,23 Years and 9 Months,NM,16.29112882,112.3398676,Low_spent_Medium_value_payments,303.2637953,2023-05-01
CUS_0x11b1,34819.83,2689.6525,312,3,10,1,Student Loan,14,12,7.69,4,_,905.89,37.69816887,18 Years and 10 Months,Yes,22.79539612,125.5996058,High_spent_Small_value_payments,380.5702481,2023-05-01
CUS_0x12a7,26450.59,2079.215833,5,6,20,4,"Debt Consolidation Loan, Home Equity Loan, Auto Loan, and Home Equity Loan",24,18,11.8,1,Standard,952.9,26.39980235,28 Years and 8 Months,No,73.67019025,19.55247096,High_spent_Large_value_payments,354.6989221,2023-05-01
CUS_0x12a9,44822.21,3555.184167,1,4,2,4,"Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Debt Consolidation Loan",10,7,1.03,0,Good,730.64,30.05812456,24 Years and 1 Months,No,135.0442856,100.0534213,High_spent_Medium_value_payments,370.4207098,2023-05-01
CUS_0x1340,40600.61,3420.384167,4,7,6,2,"Credit-Builder Loan, and Home Equity Loan",9,0,5.5,2,Good,1198.96,33.44434002,21 Years and 3 Months,No,63.61485153,75.54045342,High_spent_Small_value_payments,462.8831117,2023-05-01
CUS_0x13d1,22020.37,1605.030833,5,6,6,3,"Debt Consolidation Loan, Credit-Builder Loan, and Personal Loan",19,6,5.14,9,Good,1343.64,30.78916771,26 Years and 4 Months,No,36.59863069,208.749374,Low_spent_Small_value_payments,205.1550786,2023-05-01
CUS_0x13eb,9335.19,844.9325,7,564,26,6,"Mortgage Loan, Payday Loan, Student Loan, Payday Loan, Credit-Builder Loan, and Student Loan",17,19,18.18,12,Standard,1860.2,36.57530166,13 Years and 10 Months,Yes,41.49926737,82.41954502,Low_spent_Small_value_payments,250.5744376,2023-05-01
CUS_0x14ba,81425.24,6579.436667,9,5,26,7,"Not Specified, Credit-Builder Loan, Student Loan, Mortgage Loan, Home Equity Loan, Mortgage Loan, and Mortgage Loan",12,16,3.69,9,Bad,1729.78,39.14349336,14 Years and 2 Months,NM,375.6909458,214.3321718,Low_spent_Large_value_payments,337.920549,2023-05-01
CUS_0x1577,38060.7,3197.725,6,6,31,6_,"Auto Loan, Credit-Builder Loan, Credit-Builder Loan, Student Loan, Credit-Builder Loan, and Student Loan",31,25,25.12,12,Bad,3813.35,23.16131903,4 Years and 5 Months,Yes,172.4115227,219.3005787,!@9#%8,188.0603987,2023-05-01
CUS_0x1616,34357.96,2632.163333,7,4,30,5,"Personal Loan, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, and Student Loan",20,9,17.88,5,Standard,1751.09,37.6812563,6 Years and 3 Months,Yes,108.8664956,33.64521164,High_spent_Medium_value_payments,370.7046261,2023-05-01
CUS_0x168d,94559.73,7712.9775,3,6,11,4,"Payday Loan, Mortgage Loan, Auto Loan, and Auto Loan",12,10,5.83,4,Good,52.5,31.190071,28 Years and 5 Months,No,183.7356808,82.65677545,High_spent_Medium_value_payments,754.9052937,2023-05-01
CUS_0x1735,84621.39,7171.7825,0,4,2,0,,3,6,7.7,9,Good,66.51,26.91444948,20 Years and 11 Months,No,0.0,101.4561407,High_spent_Large_value_payments,855.7221093,2023-05-01
CUS_0x1786,73543.18,6038.598333,6,3,11,-100,,25,12,1.69,5,Standard,1090.21,38.98632365,17 Years and 6 Months,Yes,0.0,191.0653183,High_spent_Medium_value_payments,662.7945151,2023-05-01
CUS_0x17a9,83386.52,7081.876667,10,6,23,7,"Student Loan, Auto Loan, Credit-Builder Loan, Credit-Builder Loan, Personal Loan, Payday Loan, and Payday Loan",36,24,22.3,8,Bad,4972.4,40.07920631,6 Years and 3 Months,Yes,482.1797832,126.2338047,High_spent_Large_value_payments,339.7740788,2023-05-01
CUS_0x17b0,42710.62,3766.218333,8,6,13,0,,21,12,8.04,4,Standard,1172.87,24.78454364,18 Years and 2 Months,No,0.0,159.9721962,!@9#%8,486.6496371,2023-05-01
CUS_0x17c4,16962.91,1359.575833,10,10,17,9,"Personal Loan, Not Specified, Student Loan, Payday Loan, Personal Loan, Home Equity Loan, Payday Loan, Student Loan, and Debt Consolidation Loan",54,17,17.51,7,Bad,3782.93,31.74244508,1 Years and 10 Months,Yes,17407.0,148.3628709,Low_spent_Small_value_payments,208.0084656,2023-05-01
CUS_0x1854,30632.94,2535.745,3,5,1,2,"Not Specified, and Student Loan",17,2,_,2,Good,31.5,37.17580771,22 Years and 6 Months,No,44.89049415,219.6230282,Low_spent_Large_value_payments,259.0609777,2023-05-01
CUS_0x1962,33645.24,2693.77,4,6,2,3,"Auto Loan, Not Specified, and Mortgage Loan",8,14,14.47,9,Good,1162.68,34.68917882,16 Years and 10 Months,No,337.5340855,107.8154702,High_spent_Medium_value_payments,353.0228386,2023-05-01
CUS_0x1a87,106030.05,8628.8375,7,3,14,-100,"Student Loan, Mortgage Loan, and Home Equity Loan",12,14,9.51,8,_,136.53,41.35312563,10 Years and 8 Months,Yes,10979.0,80.59227045,High_spent_Large_value_payments,885.7982341,2023-05-01
CUS_0x1b07,17818.6,1659.883333,4,6,14,1,Not Specified,29,15_,10.91,3,Standard,301.52,37.16260615,18 Years and 10 Months,No,11.58110167,60.46858959,High_spent_Small_value_payments,353.9386421,2023-05-01
CUS_0x1b0c,51508.62,4259.385,7,7,30,7,"Home Equity Loan, Payday Loan, Not Specified, Mortgage Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan",40,24,2.58,8,_,3636.05,33.25893222,10 Years and 4 Months,Yes,255.6802071,305.0532522,Low_spent_Large_value_payments,135.2050407,2023-05-01
CUS_0x1bf1,18320277,3938.193333,5,7,7,1,Credit-Builder Loan,4,8,7.55,2,Good,515.73,38.09665881,20 Years and 3 Months,No,35.37456946,265.4921062,Low_spent_Small_value_payments,382.9526577,2023-05-01
CUS_0x1c57,66940.62,5717.385,3,4,14,4,"Home Equity Loan, Mortgage Loan, Home Equity Loan, and Mortgage Loan",9,10,19.9,6,Standard,352.97,30.54970278,31 Years and 6 Months,Yes,164.2113668,100.5813757,High_spent_Medium_value_payments,556.9457575,2023-05-01
CUS_0x1cf3,66858.27,5770.5225,3,541,20,4,"Student Loan, Home Equity Loan, Payday Loan, and Student Loan",6,10,4.16,9,Standard,601.58,26.85395575,28 Years and 4 Months,No,175.0151817,129.2232704,High_spent_Small_value_payments,532.8137979,2023-05-01
CUS_0x1d46,88685.32,7417.443333,0,2,3,4,"Personal Loan, Personal Loan, Credit-Builder Loan, and Debt Consolidation Loan",8,4,6.75,8,Good,1429.35,24.95089714,22 Years and 0 Months,No,168.7708042,212.3900018,Low_spent_Large_value_payments,630.5835274,2023-05-01
CUS_0x1db4,116798.36,9912.196667,8,7,7,4,"Not Specified, Credit-Builder Loan, Credit-Builder Loan, and Credit-Builder Loan",15,13_,6.51,0,Standard,1399.73,30.17807141,26 Years and 8 Months,Yes,256.2166164,481.5950262,Low_spent_Small_value_payments,543.408024,2023-05-01
CUS_0x1e41,133646.04,11429.17,4,5,11,2,"Mortgage Loan, and Personal Loan",7,6,2.43,3,_,1290.92,36.49235588,33 Years and 5 Months,No,114.2482426,148.8810851,High_spent_Large_value_payments,1119.787672,2023-05-01
CUS_0x1e96,17187.27,1589.2725,10,7,24,8,"Debt Consolidation Loan, Payday Loan, Mortgage Loan, Auto Loan, Student Loan, Mortgage Loan, Debt Consolidation Loan, and Student Loan",50,15,7.79,8,Bad,4962.25,29.18574707,5 Years and 0 Months,Yes,90.56454169,121.8084942,Low_spent_Small_value_payments,236.5542141,2023-05-01
CUS_0x1ecf,19922.11,1508.175833,7,6,27,9,"Mortgage Loan, Student Loan, Home Equity Loan, Student Loan, Debt Consolidation Loan, Not Specified, Student Loan, Auto Loan, and Credit-Builder Loan",41,20,23.54,7,_,4671.11,30.81009269,2 Years and 2 Months,Yes,111.9099294,127.2322945,Low_spent_Large_value_payments,181.6753595,2023-05-01
CUS_0x1ee3,15950.66,1047.221667,9,8,26,9,"Auto Loan, Credit-Builder Loan, Student Loan, Student Loan, Payday Loan, Payday Loan, Auto Loan, Auto Loan, and Debt Consolidation Loan",57,23,9.01,9,Bad,2598.21,36.15071613,16 Years and 3 Months,Yes,63.85540142,134.3977682,Low_spent_Small_value_payments,196.4689971,2023-05-01
CUS_0x1ef1,30567.46_,2323.288333,8,3,5,-100,"Not Specified, and Home Equity Loan",7,15,5.54,8,Good,909.74,29.05775155,23 Years and 6 Months,No,43.22960638,103.7910731,Low_spent_Small_value_payments,375.3081539,2023-05-01
