Customer_ID,snapshot_date,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,num_loan_types,debt_to_income,emi_to_salary,investment_rate,balance_to_debt,inq_per_loan,fe_1,fe_2,fe_3,fe_4,fe_5,fe_6,fe_7,fe_8,fe_9,fe_10,fe_11,fe_12,fe_13,fe_14,fe_15,fe_16,fe_17,fe_18,fe_19,fe_20,label
cus_0x1037,2023-01-01,45.0,15989.085,1086.424,5.0,4.0,2.0,4.0,['credit-builder loan' 'auto loan' 'mortgage loan'],13,15.0,0.5,3.0,665.82,40.698,237,33.797,80.465,284.38,3,0.04163955351081624,0.03107987316814784,0.07399597581072333,0.4279715665396958,0.6,63.0,118.0,80.0,121.0,55.0,193.0,111.0,112.0,-101.0,83.0,164.0,105.0,-16.0,-81.0,-126.0,114.0,35.0,85.0,-73.0,76.0,0
cus_0x1069,2023-01-01,32.0,58637.34,4799.445,4.0,6.0,10.0,3.0,['personal loan' 'auto loan'],9,17.0,12.56,5.0,208.8,25.233,368,139.885,165.211,434.849,2,0.0035608102139317046,0.02914000681186848,0.03441576770486903,2.0774499523355576,1.4285714285714286,-108.0,182.0,123.0,4.0,-56.0,27.0,25.0,-6.0,270.0,222.0,203.0,190.0,-14.0,-96.0,200.0,35.0,130.0,94.0,111.0,75.0,0
cus_0x114a,2023-01-01,43.0,15305.46,1230.455,0.0,7.0,2.0,2.0,['student loan' 'home equity loan'],14,2.0,15.95,0.0,642.42,27.525,189,20.302,64.778,327.965,2,0.04197051441025554,0.016486189101510004,0.0526028153688117,0.5112756830686022,0.0,-13.0,8.0,87.0,166.0,214.0,-98.0,215.0,152.0,129.0,139.0,14.0,203.0,26.0,86.0,171.0,125.0,-130.0,257.0,17.0,262.0,0
cus_0x1184,2023-01-01,49.0,19867.475,1396.623,3.0,5.0,11.0,3.0,['student loan' 'mortgage loan' 'payday loan'],10,9.0,6.74,4.0,707.29,26.69,392,42.607,23.461,313.594,3,0.03559860532829017,0.03048533116584372,0.016786357980657158,0.4441598780160669,1.0,-85.0,45.0,200.0,89.0,128.0,54.0,76.0,51.0,61.0,139.0,6.0,197.0,172.0,96.0,174.0,163.0,37.0,207.0,180.0,118.0,0
cus_0x1297,2023-01-01,46.0,57738.06,4881.505,9.0,8.0,30.0,9.0,"['payday loan' 'personal loan' 'mortgage loan' 'home equity loan'
 'student loan' 'credit-builder loan']",61,24.0,14.27,11.0,3916.47,25.742,164,296.284,53.821,388.045,6,0.0678305119619197,0.060682784759052984,0.011023234999247311,0.0993102691277789,1.1,55.0,120.0,226.0,-86.0,253.0,97.0,107.0,68.0,103.0,126.0,34.0,12.0,76.0,43.0,183.0,159.0,-26.0,104.0,118.0,184.0,1
cus_0x12fb,2023-01-01,35.0,26342.91,1949.243,6.0,7.0,7.0,1.0,['credit-builder loan'],23,14.0,17.6,3.0,397.9,33.212,264,57567.0,48.057,365.284,1,0.01510406010345465,29.517860082051314,0.024641544669048936,0.9182351466532966,1.5,-133.0,114.0,138.0,84.0,53.0,-60.0,60.0,128.0,270.0,102.0,-70.0,-138.0,200.0,168.0,32.0,-85.0,91.0,185.0,134.0,-28.0,0
cus_0x1325,2023-01-01,27.0,35823.96,2937.33,6.0,5.0,22.0,5.0,['personal loan' 'auto loan' 'debt consolidation loan'],39,17.0,7.35,8.0,3029.92,31.567,117,112.436,148.516,292.781,3,0.08457567014729396,0.038265273131336514,0.05054435682853866,0.09692799546012432,1.3333333333333333,67.0,155.0,24.0,-16.0,205.0,80.0,266.0,140.0,201.0,87.0,130.0,86.0,71.0,72.0,78.0,238.0,96.0,147.0,51.0,155.0,0
cus_0x1341,2023-01-01,47.0,15341.895,1035.491,6.0,7.0,3.0,1.0,['debt consolidation loan'],20,8.0,7.71,2.0,1152.71,24.134,256,6.982,81.564,295.003,1,0.07512988911153991,0.006736189701598953,0.07869243437714364,0.25656620814589454,1.0,-64.0,93.0,36.0,-1.0,3.0,183.0,-129.0,122.0,164.0,138.0,60.0,140.0,143.0,90.0,257.0,258.0,121.0,159.0,-81.0,-27.0,0
cus_0x1375,2023-01-01,15.0,72524.2,5908.683,6.0,5.0,17.0,3.0,['mortgage loan' 'debt consolidation loan' 'home equity loan'],46,23.0,8.74,9.0,2699.4,23.07,184,153.033,606.457,111.378,3,0.03722016623187527,0.025895297598872897,0.10262090200100411,0.04161531624944453,2.25,167.0,37.0,169.0,155.0,4.0,151.0,99.0,192.0,-64.0,-207.0,63.0,241.0,167.0,43.0,216.0,258.0,115.0,183.0,66.0,55.0,1
cus_0x13a8,2023-01-01,41.0,97059.0,8295.25,3.0,2.0,9.0,0.0,,9,10.0,9.94,5.0,192.99,39.94,401,0.0,210.619,858.906,-1,0.001988357716876159,0.0,0.025387253277083018,4.4327336460642295,5.0,261.0,-23.0,-4.0,-46.0,80.0,167.0,258.0,174.0,104.0,65.0,133.0,-75.0,145.0,211.0,140.0,113.0,31.0,136.0,36.0,125.0,0
